# Task	= SimpleRun
# numericalMethod	= RK4
# debug	= 0
# intelegentStop	= 1
# Variable	= Frequency
# numberOfPeriods	= 10000
# maxNumberOfPeriods	= 25000
# numberOfExtremums	= 1000
# skipPeriods	= 25000
# printStep	= 10
# printLastNperiods	= 10
# timeStep	= 0.001
# outputPrecision	= 15
# acceptableDiff	= 1e-05
# alpha	= 0.1
# amplitude	= 0.1
# Hz	= 0
# frequency	= 0.1
# magnetization	= 338
# viscosity	= 0.006
# varMin	= 0.1
# varMax	= 1.55
# varStep	= 0.05
# smallTheta	= 0.005
# smallPhi	= 0.005
# bigTheta	= 0.0051
# bigPhi	= 3.14
# thermalBath	= 0
# linearPolarization	= 0
# hySign	= 1
===== Skipping 25000 periods =====
time	smallTheta	bigTheta	smallPhi	bigPhi	energy	energy/time	Frequency
1.589939369867831e+06	1.114423078460165e-01	6.324468691097100e-04	1.589939196338426e+05	8.509585942682221e+04	1.965964883962269e+01	1.236109740653392e-05	1.000000000000000e-01
1.590567060079808e+06	1.114448258197322e-01	6.309070818665580e-04	1.590566886701019e+05	8.515863262605717e+04	1.966740777946697e+01	1.236109740675313e-05	1.000000000000000e-01
1.591194750291785e+06	1.114472300598795e-01	6.292180734928164e-04	1.591194577077341e+05	8.522140567784262e+04	1.967516671931133e+01	1.236109740697121e-05	1.000000000000000e-01
1.591822440503762e+06	1.114495114795966e-01	6.273858409893867e-04	1.591822267466694e+05	8.528417856851807e+04	1.968292565915589e+01	1.236109740719229e-05	1.000000000000000e-01
1.592450130715739e+06	1.114516615666121e-01	6.254168744429632e-04	1.592449957868328e+05	8.534695128465632e+04	1.969068459900015e+01	1.236109740741155e-05	1.000000000000000e-01
1.593077820927716e+06	1.114536723001737e-01	6.233181442284970e-04	1.593077648281450e+05	8.540972381309781e+04	1.969844353884438e+01	1.236109740762245e-05	1.000000000000000e-01
1.593705511139693e+06	1.114555362742217e-01	6.210970890293863e-04	1.593705338705225e+05	8.547249614098457e+04	1.970620247868928e+01	1.236109740785043e-05	1.000000000000000e-01
1.594333201351670e+06	1.114572466703951e-01	6.187616034147921e-04	1.594333029138778e+05	8.553526825579666e+04	1.971396141853400e+01	1.236109740807264e-05	1.000000000000000e-01
1.594960891563646e+06	1.114587973110409e-01	6.163200242214937e-04	1.594960719581197e+05	8.559804014539762e+04	1.972172035837848e+01	1.236109740828398e-05	1.000000000000000e-01
1.595588581775623e+06	1.114601826655654e-01	6.137811113535986e-04	1.595588410031543e+05	8.566081179807860e+04	1.972947929822373e+01	1.236109740850042e-05	1.000000000000000e-01
1.596216271987600e+06	1.114613978884203e-01	6.111540315186607e-04	1.596216100488846e+05	8.572358320261296e+04	1.973723823806987e+01	1.236109740871686e-05	1.000000000000000e-01
1.596843962199577e+06	1.114624388110271e-01	6.084483390608892e-04	1.596843790952116e+05	8.578635434831206e+04	1.974499717791648e+01	1.236109740892820e-05	1.000000000000000e-01
1.597471652411554e+06	1.114633019703956e-01	6.056739530514887e-04	1.597471481420336e+05	8.584912522508374e+04	1.975275611776341e+01	1.236109740914453e-05	1.000000000000000e-01
1.598099342623531e+06	1.114639845994974e-01	6.028411325896531e-04	1.598099171892479e+05	8.591189582350074e+04	1.976051505761083e+01	1.236109740935711e-05	1.000000000000000e-01
1.598727032835508e+06	1.114644846836857e-01	5.999604511667285e-04	1.598726862367505e+05	8.597466613486764e+04	1.976827399745901e+01	1.236109740958006e-05	1.000000000000000e-01
1.599354723047485e+06	1.114648009199350e-01	5.970427696098016e-04	1.599354552844368e+05	8.603743615129607e+04	1.977603293730737e+01	1.236109740978999e-05	1.000000000000000e-01
1.599982413259462e+06	1.114649327375093e-01	5.940991999186360e-04	1.599982243322016e+05	8.610020586578271e+04	1.978379187715663e+01	1.236109741000360e-05	1.000000000000000e-01
1.600610103471438e+06	1.114648802997718e-01	5.911410762714383e-04	1.600609933799397e+05	8.616297527228647e+04	1.979155081700621e+01	1.236109741018726e-05	1.000000000000000e-01
1.601237793683415e+06	1.114646444757846e-01	5.881799141484125e-04	1.601237624275469e+05	8.622574436581231e+04	1.979930975685722e+01	1.236109741040789e-05	1.000000000000000e-01
1.601865483895392e+06	1.114642268625324e-01	5.852273718790933e-04	1.601865314749194e+05	8.628851314249578e+04	1.980706869670890e+01	1.236109741062263e-05	1.000000000000000e-01
1.602493174107369e+06	1.114636298009070e-01	5.822952077119899e-04	1.602493005219550e+05	8.635128159968577e+04	1.981482763656105e+01	1.236109741082718e-05	1.000000000000000e-01
1.603120864319346e+06	1.114628562716054e-01	5.793952331917756e-04	1.603120695685529e+05	8.641404973602494e+04	1.982258657641416e+01	1.236109741103649e-05	1.000000000000000e-01
1.603748554531323e+06	1.114619099838061e-01	5.765392635995405e-04	1.603748386146147e+05	8.647681755153376e+04	1.983034551626734e+01	1.236109741123040e-05	1.000000000000000e-01
1.604376244743300e+06	1.114607953073928e-01	5.737390679649612e-04	1.604376076600444e+05	8.653958504768435e+04	1.983810445612201e+01	1.236109741142912e-05	1.000000000000000e-01
1.605003934955277e+06	1.114595172575068e-01	5.710063129923846e-04	1.605003767047484e+05	8.660235222747069e+04	1.984586339597747e+01	1.236109741163129e-05	1.000000000000000e-01
1.605631625167253e+06	1.114580814594376e-01	5.683525062807645e-04	1.605631457486371e+05	8.666511909547090e+04	1.985362233583415e+01	1.236109741183732e-05	1.000000000000000e-01
1.606259315379230e+06	1.114564941593060e-01	5.657889381788871e-04	1.606259147916238e+05	8.672788565789955e+04	1.986138127569193e+01	1.236109741204855e-05	1.000000000000000e-01
1.606887005591207e+06	1.114547621573098e-01	5.633266193499084e-04	1.606886838336259e+05	8.679065192265101e+04	1.986914021555037e+01	1.236109741225508e-05	1.000000000000000e-01
